t,theta,length,start_angle
0.0,0.515,0.29,0.515
0.03337,0.498,0.29,0.515
0.06673,0.461,0.29,0.515
0.1,0.412,0.29,0.515
0.133,0.347,0.29,0.515
0.167,0.261,0.29,0.515
0.2,0.168,0.29,0.515
0.234,0.07677,0.29,0.515
0.267,-0.01809,0.29,0.515
0.3,-0.116,0.29,0.515
0.334,-0.201,0.29,0.515
0.367,-0.287,0.29,0.515
0.4,-0.371,0.29,0.515
0.434,-0.432,0.29,0.515
0.467,-0.473,0.29,0.515
0.5,-0.505,0.29,0.515
0.534,-0.5,0.29,0.515
0.567,-0.494,0.29,0.515
0.601,-0.467,0.29,0.515
0.634,-0.42,0.29,0.515
0.667,-0.357,0.29,0.515
0.701,-0.291,0.29,0.515
0.734,-0.216,0.29,0.515
0.767,-0.129,0.29,0.515
0.801,-0.03157,0.29,0.515
0.834,0.07131,0.29,0.515
0.868,0.154,0.29,0.515
0.901,0.247,0.29,0.515
0.934,0.328,0.29,0.515
0.968,0.384,0.29,0.515
1.001,0.444,0.29,0.515
1.034,0.483,0.29,0.515
1.068,0.49,0.29,0.515
1.101,0.494,0.29,0.515
1.134,0.482,0.29,0.515
1.168,0.445,0.29,0.515
1.201,0.388,0.29,0.515
1.235,0.329,0.29,0.515
1.268,0.246,0.29,0.515
1.301,0.159,0.29,0.515
1.335,0.05708,0.29,0.515
1.368,-0.03367,0.29,0.515
1.401,-0.132,0.29,0.515
1.435,-0.232,0.29,0.515
1.468,-0.307,0.29,0.515
1.502,-0.372,0.29,0.515
1.535,-0.413,0.29,0.515
1.568,-0.451,0.29,0.515
1.602,-0.479,0.29,0.515
1.635,-0.484,0.29,0.515
1.668,-0.47,0.29,0.515
1.702,-0.444,0.29,0.515
1.735,-0.397,0.29,0.515
1.768,-0.344,0.29,0.515
1.802,-0.273,0.29,0.515
1.835,-0.2,0.29,0.515
1.869,-0.105,0.29,0.515
1.902,-0.01832,0.29,0.515
1.935,0.07075,0.29,0.515
1.969,0.166,0.29,0.515
2.002,0.241,0.29,0.515
2.035,0.324,0.29,0.515
2.069,0.381,0.29,0.515
2.102,0.442,0.29,0.515
2.135,0.477,0.29,0.515
2.169,0.487,0.29,0.515
2.202,0.487,0.29,0.515
2.236,0.459,0.29,0.515
2.269,0.429,0.29,0.515
2.302,0.375,0.29,0.515
2.336,0.316,0.29,0.515
2.369,0.233,0.29,0.515
2.402,0.143,0.29,0.515
2.436,0.0466,0.29,0.515
2.469,-0.06226,0.29,0.515
2.503,-0.152,0.29,0.515
2.536,-0.236,0.29,0.515
2.569,-0.318,0.29,0.515
2.603,-0.387,0.29,0.515
2.636,-0.438,0.29,0.515
2.669,-0.464,0.29,0.515
2.703,-0.483,0.29,0.515
2.736,-0.48,0.29,0.515
2.769,-0.46,0.29,0.515
2.803,-0.428,0.29,0.515
2.836,-0.385,0.29,0.515
2.87,-0.318,0.29,0.515
2.903,-0.247,0.29,0.515
2.936,-0.167,0.29,0.515
2.97,-0.07617,0.29,0.515
3.003,0.02099,0.29,0.515
3.036,0.09421,0.29,0.515
3.07,0.185,0.29,0.515
3.103,0.267,0.29,0.515
3.136,0.333,0.29,0.515
3.17,0.386,0.29,0.515
3.203,0.447,0.29,0.515
3.237,0.47,0.29,0.515
3.27,0.476,0.29,0.515
3.303,0.466,0.29,0.515
3.337,0.452,0.29,0.515
3.37,0.41,0.29,0.515
3.403,0.354,0.29,0.515
3.437,0.277,0.29,0.515
3.47,0.198,0.29,0.515
3.504,0.114,0.29,0.515
3.537,0.01818,0.29,0.515
3.57,-0.07776,0.29,0.515
3.604,-0.17,0.29,0.515
3.637,-0.244,0.29,0.515
3.67,-0.312,0.29,0.515
3.704,-0.37,0.29,0.515
3.737,-0.417,0.29,0.515
3.77,-0.458,0.29,0.515
3.804,-0.467,0.29,0.515
3.837,-0.462,0.29,0.515
3.871,-0.442,0.29,0.515
3.904,-0.409,0.29,0.515
3.937,-0.355,0.29,0.515
3.971,-0.296,0.29,0.515
4.004,-0.224,0.29,0.515
4.037,-0.147,0.29,0.515
4.071,-0.05565,0.29,0.515
4.104,0.03712,0.29,0.515
4.137,0.111,0.29,0.515
4.171,0.208,0.29,0.515
4.204,0.279,0.29,0.515
4.238,0.349,0.29,0.515
4.271,0.401,0.29,0.515
4.304,0.443,0.29,0.515
4.338,0.465,0.29,0.515
4.371,0.469,0.29,0.515
4.404,0.459,0.29,0.515
4.438,0.446,0.29,0.515
4.471,0.389,0.29,0.515
4.505,0.348,0.29,0.515
4.538,0.264,0.29,0.515
4.571,0.185,0.29,0.515
4.605,0.09631,0.29,0.515
4.638,0.005222,0.29,0.515
4.671,-0.09161,0.29,0.515
4.705,-0.177,0.29,0.515
4.738,-0.262,0.29,0.515
4.771,-0.318,0.29,0.515
4.805,-0.375,0.29,0.515
4.838,-0.417,0.29,0.515
4.872,-0.44,0.29,0.515
4.905,-0.445,0.29,0.515
4.938,-0.445,0.29,0.515
4.972,-0.431,0.29,0.515
5.005,-0.387,0.29,0.515
5.038,-0.336,0.29,0.515
