t,theta,length,start_angle
0.0,0.274,0.19,0.274
0.03337,0.257,0.19,0.274
0.06673,0.225,0.19,0.274
0.1,0.177,0.19,0.274
0.133,0.127,0.19,0.274
0.167,0.07232,0.19,0.274
0.2,-0.001397,0.19,0.274
0.234,-0.05595,0.19,0.274
0.267,-0.132,0.19,0.274
0.3,-0.18,0.19,0.274
0.334,-0.223,0.19,0.274
0.367,-0.265,0.19,0.274
0.4,-0.278,0.19,0.274
0.434,-0.289,0.19,0.274
0.467,-0.264,0.19,0.274
0.5,-0.24,0.19,0.274
0.534,-0.219,0.19,0.274
0.567,-0.157,0.19,0.274
0.601,-0.09025,0.19,0.274
0.634,-0.03465,0.19,0.274
0.667,0.03291,0.19,0.274
0.701,0.08996,0.19,0.274
0.734,0.151,0.19,0.274
0.767,0.194,0.19,0.274
0.801,0.229,0.19,0.274
0.834,0.26,0.19,0.274
0.868,0.254,0.19,0.274
0.901,0.249,0.19,0.274
0.934,0.22,0.19,0.274
0.968,0.193,0.19,0.274
1.001,0.152,0.19,0.274
1.034,0.09061,0.19,0.274
1.068,0.03559,0.19,0.274
1.101,-0.03789,0.19,0.274
1.134,-0.0894,0.19,0.274
1.168,-0.155,0.19,0.274
1.201,-0.196,0.19,0.274
1.235,-0.239,0.19,0.274
1.268,-0.252,0.19,0.274
1.301,-0.278,0.19,0.274
1.335,-0.264,0.19,0.274
1.368,-0.235,0.19,0.274
1.401,-0.215,0.19,0.274
1.435,-0.171,0.19,0.274
1.468,-0.107,0.19,0.274
1.502,-0.05415,0.19,0.274
1.535,0.002921,0.19,0.274
1.568,0.06032,0.19,0.274
1.602,0.121,0.19,0.274
1.635,0.155,0.19,0.274
1.668,0.207,0.19,0.274
1.702,0.239,0.19,0.274
1.735,0.265,0.19,0.274
1.768,0.259,0.19,0.274
1.802,0.256,0.19,0.274
1.835,0.214,0.19,0.274
1.869,0.185,0.19,0.274
1.902,0.142,0.19,0.274
1.935,0.07423,0.19,0.274
1.969,-0.004965,0.19,0.274
2.002,-0.05291,0.19,0.274
2.035,-0.119,0.19,0.274
2.069,-0.162,0.19,0.274
2.102,-0.202,0.19,0.274
2.135,-0.247,0.19,0.274
2.169,-0.25,0.19,0.274
2.202,-0.257,0.19,0.274
2.236,-0.246,0.19,0.274
2.269,-0.22,0.19,0.274
2.302,-0.179,0.19,0.274
2.336,-0.13,0.19,0.274
2.369,-0.06932,0.19,0.274
2.402,-0.008543,0.19,0.274
2.436,0.0527,0.19,0.274
2.469,0.118,0.19,0.274
2.503,0.16,0.19,0.274
2.536,0.202,0.19,0.274
2.569,0.248,0.19,0.274
2.603,0.247,0.19,0.274
2.636,0.259,0.19,0.274
2.669,0.256,0.19,0.274
2.703,0.223,0.19,0.274
2.736,0.191,0.19,0.274
2.769,0.154,0.19,0.274
2.803,0.107,0.19,0.274
2.836,0.03985,0.19,0.274
2.87,-0.03093,0.19,0.274
2.903,-0.09764,0.19,0.274
2.936,-0.145,0.19,0.274
2.97,-0.185,0.19,0.274
3.003,-0.226,0.19,0.274
3.036,-0.25,0.19,0.274
3.07,-0.259,0.19,0.274
3.103,-0.246,0.19,0.274
3.136,-0.23,0.19,0.274
3.17,-0.199,0.19,0.274
3.203,-0.146,0.19,0.274
3.237,-0.103,0.19,0.274
3.27,-0.04275,0.19,0.274
3.303,0.0293,0.19,0.274
3.337,0.09113,0.19,0.274
3.37,0.141,0.19,0.274
3.403,0.187,0.19,0.274
3.437,0.237,0.19,0.274
3.47,0.26,0.19,0.274
3.504,0.262,0.19,0.274
3.537,0.269,0.19,0.274
3.57,0.248,0.19,0.274
3.604,0.209,0.19,0.274
3.637,0.173,0.19,0.274
3.67,0.123,0.19,0.274
3.704,0.06242,0.19,0.274
3.737,-0.001151,0.19,0.274
3.77,-0.06415,0.19,0.274
3.804,-0.123,0.19,0.274
3.837,-0.18,0.19,0.274
3.871,-0.217,0.19,0.274
3.904,-0.23,0.19,0.274
3.937,-0.247,0.19,0.274
3.971,-0.251,0.19,0.274
4.004,-0.243,0.19,0.274
4.037,-0.208,0.19,0.274
4.071,-0.179,0.19,0.274
4.104,-0.118,0.19,0.274
4.137,-0.07265,0.19,0.274
4.171,-0.01615,0.19,0.274
4.204,0.06032,0.19,0.274
4.238,0.106,0.19,0.274
4.271,0.165,0.19,0.274
4.304,0.21,0.19,0.274
4.338,0.237,0.19,0.274
4.371,0.254,0.19,0.274
4.404,0.254,0.19,0.274
4.438,0.254,0.19,0.274
4.471,0.212,0.19,0.274
4.505,0.185,0.19,0.274
4.538,0.132,0.19,0.274
4.571,0.07764,0.19,0.274
4.605,0.006171,0.19,0.274
4.638,-0.04937,0.19,0.274
4.671,-0.09456,0.19,0.274
4.705,-0.158,0.19,0.274
4.738,-0.224,0.19,0.274
4.771,-0.238,0.19,0.274
4.805,-0.253,0.19,0.274
4.838,-0.252,0.19,0.274
4.872,-0.24,0.19,0.274
4.905,-0.227,0.19,0.274
4.938,-0.184,0.19,0.274
4.972,-0.146,0.19,0.274
5.005,-0.09612,0.19,0.274
5.038,-0.02755,0.19,0.274
5.072,0.02173,0.19,0.274
5.105,0.07589,0.19,0.274
5.138,0.133,0.19,0.274
5.172,0.185,0.19,0.274
5.205,0.23,0.19,0.274
5.239,0.239,0.19,0.274
5.272,0.258,0.19,0.274
5.305,0.244,0.19,0.274
5.339,0.225,0.19,0.274
5.372,0.195,0.19,0.274
5.405,0.16,0.19,0.274
5.439,0.104,0.19,0.274
5.472,0.03946,0.19,0.274
5.506,-0.01606,0.19,0.274
5.539,-0.06847,0.19,0.274
5.572,-0.124,0.19,0.274
5.606,-0.166,0.19,0.274
5.639,-0.215,0.19,0.274
5.672,-0.235,0.19,0.274
5.706,-0.247,0.19,0.274
5.739,-0.253,0.19,0.274
