t,theta,length,start_angle
0.0,0.834,0.29,0.834
0.03337,0.822,0.29,0.834
0.06673,0.771,0.29,0.834
0.1,0.692,0.29,0.834
0.133,0.59,0.29,0.834
0.167,0.468,0.29,0.834
0.2,0.316,0.29,0.834
0.234,0.182,0.29,0.834
0.267,0.004741,0.29,0.834
0.3,-0.164,0.29,0.834
0.334,-0.312,0.29,0.834
0.367,-0.452,0.29,0.834
0.4,-0.573,0.29,0.834
0.434,-0.664,0.29,0.834
0.467,-0.738,0.29,0.834
0.501,-0.792,0.29,0.834
0.534,-0.813,0.29,0.834
0.567,-0.813,0.29,0.834
0.601,-0.784,0.29,0.834
0.634,-0.728,0.29,0.834
0.667,-0.657,0.29,0.834
0.701,-0.557,0.29,0.834
0.734,-0.441,0.29,0.834
0.767,-0.308,0.29,0.834
0.801,-0.162,0.29,0.834
0.834,-0.0181,0.29,0.834
0.868,0.141,0.29,0.834
0.901,0.278,0.29,0.834
0.934,0.414,0.29,0.834
0.968,0.537,0.29,0.834
1.001,0.641,0.29,0.834
1.034,0.724,0.29,0.834
1.068,0.784,0.29,0.834
1.101,0.811,0.29,0.834
1.134,0.809,0.29,0.834
1.168,0.787,0.29,0.834
1.201,0.731,0.29,0.834
1.235,0.659,0.29,0.834
1.268,0.552,0.29,0.834
1.301,0.434,0.29,0.834
1.335,0.286,0.29,0.834
1.368,0.135,0.29,0.834
1.401,-0.03336,0.29,0.834
1.435,-0.169,0.29,0.834
1.468,-0.331,0.29,0.834
1.502,-0.451,0.29,0.834
1.535,-0.573,0.29,0.834
1.568,-0.663,0.29,0.834
1.602,-0.739,0.29,0.834
1.635,-0.774,0.29,0.834
1.668,-0.792,0.29,0.834
1.702,-0.794,0.29,0.834
1.735,-0.748,0.29,0.834
1.768,-0.692,0.29,0.834
1.802,-0.623,0.29,0.834
1.835,-0.519,0.29,0.834
1.869,-0.404,0.29,0.834
1.902,-0.268,0.29,0.834
1.935,-0.13,0.29,0.834
1.969,0.02322,0.29,0.834
2.002,0.168,0.29,0.834
2.035,0.3,0.29,0.834
2.069,0.432,0.29,0.834
2.102,0.558,0.29,0.834
2.135,0.652,0.29,0.834
2.169,0.728,0.29,0.834
2.202,0.773,0.29,0.834
2.236,0.808,0.29,0.834
2.269,0.796,0.29,0.834
2.302,0.767,0.29,0.834
2.336,0.712,0.29,0.834
2.369,0.629,0.29,0.834
2.402,0.522,0.29,0.834
2.436,0.384,0.29,0.834
2.469,0.23,0.29,0.834
2.503,0.07302,0.29,0.834
2.536,-0.05371,0.29,0.834
2.569,-0.21,0.29,0.834
2.603,-0.356,0.29,0.834
2.636,-0.473,0.29,0.834
2.669,-0.587,0.29,0.834
2.703,-0.673,0.29,0.834
2.736,-0.733,0.29,0.834
2.769,-0.756,0.29,0.834
2.803,-0.774,0.29,0.834
2.836,-0.76,0.29,0.834
2.87,-0.709,0.29,0.834
2.903,-0.65,0.29,0.834
2.936,-0.571,0.29,0.834
2.97,-0.46,0.29,0.834
3.003,-0.329,0.29,0.834
3.036,-0.215,0.29,0.834
3.07,-0.07041,0.29,0.834
3.103,0.0749,0.29,0.834
3.136,0.213,0.29,0.834
3.17,0.358,0.29,0.834
3.203,0.473,0.29,0.834
3.237,0.584,0.29,0.834
3.27,0.662,0.29,0.834
3.303,0.735,0.29,0.834
3.337,0.769,0.29,0.834
3.37,0.787,0.29,0.834
3.403,0.774,0.29,0.834
3.437,0.737,0.29,0.834
3.47,0.668,0.29,0.834
3.504,0.568,0.29,0.834
3.537,0.454,0.29,0.834
3.57,0.328,0.29,0.834
3.604,0.181,0.29,0.834
3.637,0.02767,0.29,0.834
3.67,-0.113,0.29,0.834
3.704,-0.265,0.29,0.834
3.737,-0.396,0.29,0.834
3.77,-0.514,0.29,0.834
3.804,-0.612,0.29,0.834
3.837,-0.678,0.29,0.834
3.871,-0.728,0.29,0.834
3.904,-0.74,0.29,0.834
3.937,-0.746,0.29,0.834
3.971,-0.724,0.29,0.834
4.004,-0.672,0.29,0.834
4.037,-0.608,0.29,0.834
4.071,-0.51,0.29,0.834
4.104,-0.421,0.29,0.834
4.137,-0.292,0.29,0.834
4.171,-0.16,0.29,0.834
4.204,-0.0181,0.29,0.834
4.238,0.121,0.29,0.834
4.271,0.257,0.29,0.834
4.304,0.391,0.29,0.834
4.338,0.509,0.29,0.834
4.371,0.612,0.29,0.834
4.404,0.682,0.29,0.834
4.438,0.737,0.29,0.834
4.471,0.774,0.29,0.834
4.505,0.773,0.29,0.834
4.538,0.743,0.29,0.834
4.571,0.69,0.29,0.834
4.605,0.612,0.29,0.834
4.638,0.516,0.29,0.834
4.671,0.387,0.29,0.834
4.705,0.257,0.29,0.834
4.738,0.111,0.29,0.834
4.771,-0.03614,0.29,0.834
4.805,-0.175,0.29,0.834
4.838,-0.313,0.29,0.834
4.872,-0.433,0.29,0.834
4.905,-0.541,0.29,0.834
4.938,-0.618,0.29,0.834
4.972,-0.687,0.29,0.834
5.005,-0.718,0.29,0.834
5.038,-0.736,0.29,0.834
