t,theta,length,start_angle
0.0,1.596,0.19,1.596
0.03337,1.529,0.19,1.596
0.06673,1.436,0.19,1.596
0.1,1.274,0.19,1.596
0.133,1.056,0.19,1.596
0.167,0.774,0.19,1.596
0.2,0.436,0.19,1.596
0.234,0.07453,0.19,1.596
0.267,-0.279,0.19,1.596
0.3,-0.63,0.19,1.596
0.334,-0.909,0.19,1.596
0.367,-1.133,0.19,1.596
0.4,-1.317,0.19,1.596
0.434,-1.423,0.19,1.596
0.467,-1.49,0.19,1.596
0.5,-1.521,0.19,1.596
0.534,-1.47,0.19,1.596
0.567,-1.382,0.19,1.596
0.601,-1.228,0.19,1.596
0.634,-1.043,0.19,1.596
0.667,-0.806,0.19,1.596
0.701,-0.535,0.19,1.596
0.734,-0.261,0.19,1.596
0.767,0.05686,0.19,1.596
0.801,0.367,0.19,1.596
0.834,0.666,0.19,1.596
0.868,0.941,0.19,1.596
0.901,1.167,0.19,1.596
0.934,1.332,0.19,1.596
0.968,1.458,0.19,1.596
1.001,1.52,0.19,1.596
1.034,1.521,0.19,1.596
1.068,1.485,0.19,1.596
1.101,1.379,0.19,1.596
1.134,1.22,0.19,1.596
1.168,1.005,0.19,1.596
1.201,0.735,0.19,1.596
1.235,0.422,0.19,1.596
1.268,0.09365,0.19,1.596
1.301,-0.257,0.19,1.596
1.335,-0.562,0.19,1.596
1.368,-0.827,0.19,1.596
1.401,-1.06,0.19,1.596
1.435,-1.239,0.19,1.596
1.468,-1.341,0.19,1.596
1.502,-1.411,0.19,1.596
1.535,-1.424,0.19,1.596
1.568,-1.38,0.19,1.596
1.602,-1.279,0.19,1.596
1.635,-1.137,0.19,1.596
1.668,-0.938,0.19,1.596
1.702,-0.714,0.19,1.596
1.735,-0.432,0.19,1.596
1.768,-0.162,0.19,1.596
1.802,0.146,0.19,1.596
1.835,0.449,0.19,1.596
1.869,0.737,0.19,1.596
1.902,0.98,0.19,1.596
1.935,1.172,0.19,1.596
1.969,1.319,0.19,1.596
2.002,1.41,0.19,1.596
2.035,1.442,0.19,1.596
2.069,1.427,0.19,1.596
2.102,1.341,0.19,1.596
2.135,1.218,0.19,1.596
2.169,1.032,0.19,1.596
2.202,0.792,0.19,1.596
2.236,0.504,0.19,1.596
2.269,0.185,0.19,1.596
2.302,-0.127,0.19,1.596
2.336,-0.435,0.19,1.596
2.369,-0.716,0.19,1.596
2.402,-0.952,0.19,1.596
2.436,-1.131,0.19,1.596
2.469,-1.263,0.19,1.596
2.503,-1.345,0.19,1.596
2.536,-1.374,0.19,1.596
2.569,-1.349,0.19,1.596
2.603,-1.243,0.19,1.596
2.636,-1.114,0.19,1.596
2.669,-0.944,0.19,1.596
2.703,-0.72,0.19,1.596
2.736,-0.459,0.19,1.596
2.769,-0.184,0.19,1.596
2.803,0.103,0.19,1.596
2.836,0.399,0.19,1.596
2.87,0.659,0.19,1.596
2.903,0.898,0.19,1.596
2.936,1.083,0.19,1.596
2.97,1.235,0.19,1.596
3.003,1.331,0.19,1.596
3.036,1.363,0.19,1.596
3.07,1.347,0.19,1.596
3.103,1.284,0.19,1.596
3.136,1.168,0.19,1.596
3.17,1.002,0.19,1.596
3.203,0.768,0.19,1.596
3.237,0.475,0.19,1.596
3.27,0.167,0.19,1.596
3.303,-0.148,0.19,1.596
3.337,-0.434,0.19,1.596
3.37,-0.687,0.19,1.596
3.403,-0.909,0.19,1.596
3.437,-1.089,0.19,1.596
3.47,-1.208,0.19,1.596
3.503,-1.286,0.19,1.596
3.537,-1.319,0.19,1.596
3.57,-1.256,0.19,1.596
3.604,-1.175,0.19,1.596
3.637,-1.045,0.19,1.596
3.67,-0.863,0.19,1.596
3.704,-0.629,0.19,1.596
3.737,-0.377,0.19,1.596
3.77,-0.106,0.19,1.596
3.804,0.169,0.19,1.596
3.837,0.436,0.19,1.596
3.871,0.686,0.19,1.596
3.904,0.913,0.19,1.596
3.937,1.086,0.19,1.596
3.971,1.214,0.19,1.596
4.004,1.287,0.19,1.596
4.037,1.299,0.19,1.596
4.071,1.268,0.19,1.596
4.104,1.193,0.19,1.596
4.137,1.046,0.19,1.596
4.171,0.87,0.19,1.596
4.204,0.622,0.19,1.596
4.238,0.339,0.19,1.596
4.271,0.03934,0.19,1.596
4.304,-0.257,0.19,1.596
4.338,-0.518,0.19,1.596
4.371,-0.758,0.19,1.596
4.404,-0.956,0.19,1.596
4.438,-1.101,0.19,1.596
4.471,-1.184,0.19,1.596
4.505,-1.239,0.19,1.596
4.538,-1.22,0.19,1.596
4.571,-1.174,0.19,1.596
4.605,-1.064,0.19,1.596
4.638,-0.917,0.19,1.596
4.671,-0.718,0.19,1.596
4.705,-0.478,0.19,1.596
4.738,-0.24,0.19,1.596
4.771,0.04252,0.19,1.596
4.805,0.31,0.19,1.596
4.838,0.571,0.19,1.596
4.872,0.79,0.19,1.596
4.905,0.975,0.19,1.596
4.938,1.114,0.19,1.596
4.972,1.214,0.19,1.596
5.005,1.242,0.19,1.596
5.038,1.232,0.19,1.596
