t,theta,length,start_angle
0.0,1.577,0.29,1.577
0.03337,1.557,0.29,1.577
0.06673,1.495,0.29,1.577
0.1,1.367,0.29,1.577
0.133,1.219,0.29,1.577
0.167,1.037,0.29,1.577
0.2,0.838,0.29,1.577
0.234,0.574,0.29,1.577
0.267,0.303,0.29,1.577
0.3,0.00625,0.29,1.577
0.334,-0.289,0.29,1.577
0.367,-0.548,0.29,1.577
0.4,-0.783,0.29,1.577
0.434,-0.99,0.29,1.577
0.467,-1.162,0.29,1.577
0.501,-1.29,0.29,1.577
0.534,-1.39,0.29,1.577
0.567,-1.451,0.29,1.577
0.601,-1.483,0.29,1.577
0.634,-1.478,0.29,1.577
0.667,-1.446,0.29,1.577
0.701,-1.372,0.29,1.577
0.734,-1.26,0.29,1.577
0.767,-1.121,0.29,1.577
0.801,-0.937,0.29,1.577
0.834,-0.741,0.29,1.577
0.868,-0.507,0.29,1.577
0.901,-0.271,0.29,1.577
0.934,-0.01877,0.29,1.577
0.968,0.242,0.29,1.577
1.001,0.489,0.29,1.577
1.034,0.74,0.29,1.577
1.068,0.958,0.29,1.577
1.101,1.14,0.29,1.577
1.134,1.269,0.29,1.577
1.168,1.383,0.29,1.577
1.201,1.472,0.29,1.577
1.235,1.513,0.29,1.577
1.268,1.511,0.29,1.577
1.301,1.485,0.29,1.577
1.335,1.419,0.29,1.577
1.368,1.315,0.29,1.577
1.401,1.187,0.29,1.577
1.435,1.003,0.29,1.577
1.468,0.792,0.29,1.577
1.502,0.54,0.29,1.577
1.535,0.25,0.29,1.577
1.568,-0.02069,0.29,1.577
1.602,-0.303,0.29,1.577
1.635,-0.544,0.29,1.577
1.668,-0.756,0.29,1.577
1.702,-0.959,0.29,1.577
1.735,-1.129,0.29,1.577
1.768,-1.26,0.29,1.577
1.802,-1.344,0.29,1.577
1.835,-1.409,0.29,1.577
1.869,-1.428,0.29,1.577
1.902,-1.423,0.29,1.577
1.935,-1.369,0.29,1.577
1.969,-1.292,0.29,1.577
2.002,-1.176,0.29,1.577
2.035,-1.036,0.29,1.577
2.069,-0.852,0.29,1.577
2.102,-0.657,0.29,1.577
2.135,-0.423,0.29,1.577
2.169,-0.186,0.29,1.577
2.202,0.0649,0.29,1.577
2.236,0.304,0.29,1.577
2.269,0.55,0.29,1.577
2.302,0.776,0.29,1.577
2.336,0.978,0.29,1.577
2.369,1.148,0.29,1.577
2.402,1.291,0.29,1.577
2.436,1.398,0.29,1.577
2.469,1.46,0.29,1.577
2.503,1.479,0.29,1.577
2.536,1.475,0.29,1.577
2.569,1.427,0.29,1.577
2.603,1.36,0.29,1.577
2.636,1.244,0.29,1.577
2.669,1.093,0.29,1.577
2.703,0.896,0.29,1.577
2.736,0.672,0.29,1.577
2.769,0.412,0.29,1.577
2.803,0.133,0.29,1.577
2.836,-0.156,0.29,1.577
2.87,-0.414,0.29,1.577
2.903,-0.625,0.29,1.577
2.936,-0.835,0.29,1.577
2.97,-1.008,0.29,1.577
3.003,-1.145,0.29,1.577
3.036,-1.251,0.29,1.577
3.07,-1.33,0.29,1.577
3.103,-1.361,0.29,1.577
3.136,-1.374,0.29,1.577
3.17,-1.336,0.29,1.577
3.203,-1.272,0.29,1.577
3.237,-1.174,0.29,1.577
3.27,-1.036,0.29,1.577
3.303,-0.878,0.29,1.577
3.337,-0.691,0.29,1.577
3.37,-0.479,0.29,1.577
3.403,-0.261,0.29,1.577
3.437,-0.02937,0.29,1.577
3.47,0.215,0.29,1.577
3.504,0.466,0.29,1.577
3.537,0.705,0.29,1.577
3.57,0.907,0.29,1.577
3.604,1.093,0.29,1.577
3.637,1.226,0.29,1.577
3.67,1.34,0.29,1.577
3.704,1.416,0.29,1.577
3.737,1.447,0.29,1.577
3.77,1.447,0.29,1.577
3.804,1.419,0.29,1.577
3.837,1.346,0.29,1.577
3.871,1.247,0.29,1.577
3.904,1.111,0.29,1.577
3.937,0.918,0.29,1.577
3.971,0.688,0.29,1.577
4.004,0.433,0.29,1.577
4.037,0.158,0.29,1.577
4.071,-0.113,0.29,1.577
4.104,-0.363,0.29,1.577
4.137,-0.575,0.29,1.577
4.171,-0.777,0.29,1.577
4.204,-0.937,0.29,1.577
4.238,-1.076,0.29,1.577
4.271,-1.185,0.29,1.577
4.304,-1.274,0.29,1.577
4.338,-1.312,0.29,1.577
4.371,-1.312,0.29,1.577
4.404,-1.291,0.29,1.577
4.438,-1.235,0.29,1.577
4.471,-1.13,0.29,1.577
4.505,-1.007,0.29,1.577
4.538,-0.846,0.29,1.577
4.571,-0.674,0.29,1.577
4.605,-0.467,0.29,1.577
4.638,-0.228,0.29,1.577
4.671,0.001989,0.29,1.577
4.705,0.25,0.29,1.577
4.738,0.476,0.29,1.577
4.771,0.691,0.29,1.577
4.805,0.894,0.29,1.577
4.838,1.046,0.29,1.577
4.872,1.176,0.29,1.577
4.905,1.267,0.29,1.577
4.938,1.331,0.29,1.577
4.972,1.355,0.29,1.577
5.005,1.348,0.29,1.577
5.038,1.305,0.29,1.577
