t,x,y,theta
5.072,0.216,4.685E-03,2.173E-02
5.105,0.212,1.615E-02,7.589E-02
5.138,0.213,2.839E-02,0.133
5.172,0.209,3.905E-02,0.185
5.205,0.209,4.884E-02,0.230
5.239,0.207,5.049E-02,0.239
5.272,0.210,5.536E-02,0.258
5.305,0.210,5.209E-02,0.244
5.339,0.210,4.801E-02,0.225
5.372,0.214,4.224E-02,0.195
5.405,0.216,3.488E-02,0.160
5.439,0.217,2.262E-02,0.104
5.472,0.220,8.704E-03,3.946E-02
5.506,0.219,-3.526E-03,-1.606E-02
5.539,0.218,-1.493E-02,-6.847E-02
5.572,0.218,-2.717E-02,-0.124
5.606,0.215,-3.612E-02,-0.166
5.639,0.214,-4.671E-02,-0.215
5.672,0.212,-5.076E-02,-0.235
5.706,0.211,-5.32E-02,-0.247
5.739,0.209,-5.4E-02,-0.253
