t,x,y,theta
4.037,0.211,-9.362E-02,-0.418
4.071,0.212,-8.46E-02,-0.379
4.104,0.217,-7.644E-02,-0.339
4.137,0.220,-6.087E-02,-0.270
4.171,0.226,-4.122E-02,-0.181
4.204,0.226,-1.9E-02,-8.388E-02
4.238,0.224,3.261E-03,1.456E-02
4.271,0.219,2.639E-02,0.120
4.304,0.214,4.46E-02,0.205
4.338,0.208,5.953E-02,0.279
4.371,0.200,6.872E-02,0.330
4.404,0.195,7.705E-02,0.377
4.438,0.194,8.036E-02,0.393
4.471,0.192,8.039E-02,0.396
4.505,0.193,7.544E-02,0.372
4.538,0.197,6.796E-02,0.332
4.571,0.202,5.47E-02,0.265
4.605,0.207,4.144E-02,0.198
4.638,0.211,2.325E-02,0.110
4.671,0.217,2.575E-03,1.189E-02
4.705,0.217,-1.883E-02,-8.659E-02
4.738,0.219,-4.027E-02,-0.182
4.771,0.219,-5.755E-02,-0.257
4.805,0.213,-7.309E-02,-0.330
4.838,0.212,-8.377E-02,-0.376
4.872,0.212,-8.869E-02,-0.397
4.905,0.211,-9.199E-02,-0.410
4.938,0.212,-8.869E-02,-0.397
4.972,0.213,-8.214E-02,-0.368
5.005,0.220,-6.745E-02,-0.297
5.038,0.221,-5.184E-02,-0.230
