t,x,y,theta,,,
0.000,-1.792E-03,0.284,1.577,,,
3.337E-02,3.956E-03,0.282,1.557,,,
6.673E-02,2.123E-02,0.279,1.495,,,
0.100,5.778E-02,0.280,1.367,,,
0.133,0.103,0.280,1.219,,,
0.167,0.155,0.263,1.037,,,
0.200,0.205,0.228,0.838,,,
0.234,0.262,0.169,0.574,,,
0.267,0.297,9.308E-02,0.303,,,
0.300,0.309,1.929E-03,6.25E-03,,,
0.334,0.290,-8.634E-02,-0.289,,,
0.367,0.254,-0.155,-0.548,,,
0.400,0.206,-0.205,-0.783,,,
0.434,0.154,-0.235,-0.990,,,
0.467,0.108,-0.249,-1.162,,,
0.501,7.377E-02,-0.256,-1.290,,,
0.534,4.683E-02,-0.257,-1.390,,,
0.567,3.081E-02,-0.257,-1.451,,,
0.601,2.248E-02,-0.256,-1.483,,,
0.634,2.377E-02,-0.255,-1.478,,,
0.667,3.21E-02,-0.255,-1.446,,,
0.701,5.134E-02,-0.255,-1.372,,,
0.734,8.086E-02,-0.252,-1.260,,,
0.767,0.118,-0.245,-1.121,,,
0.801,0.166,-0.225,-0.937,,,
0.834,0.211,-0.193,-0.741,,,
0.868,0.256,-0.142,-0.507,,,
0.901,0.290,-8.056E-02,-0.271,,,
0.934,0.305,-5.721E-03,-1.877E-02,,,
0.968,0.297,7.321E-02,0.242,,,
1.001,0.274,0.146,0.489,,,
1.034,0.227,0.207,0.740,,,
1.068,0.177,0.251,0.958,,,
1.101,0.127,0.276,1.140,,,
1.134,8.927E-02,0.287,1.269,,,
1.168,5.533E-02,0.291,1.383,,,
1.201,2.907E-02,0.293,1.472,,,
1.235,1.687E-02,0.291,1.513,,,
1.268,1.753E-02,0.292,1.511,,,
1.301,2.523E-02,0.293,1.485,,,
1.335,4.512E-02,0.295,1.419,,,
1.368,7.65E-02,0.292,1.315,,,
1.401,0.115,0.285,1.187,,,
1.435,0.167,0.261,1.003,,,
1.468,0.220,0.223,0.792,,,
1.502,0.268,0.161,0.540,,,
1.535,0.301,7.701E-02,0.250,,,
1.568,0.310,-6.425E-03,-2.069E-02,,,
1.602,0.288,-9.016E-02,-0.303,,,
1.635,0.252,-0.153,-0.544,,,
1.668,0.208,-0.196,-0.756,,,
1.702,0.159,-0.227,-0.959,,,
1.735,0.116,-0.244,-1.129,,,
1.768,8.087E-02,-0.251,-1.260,,,
1.802,5.78E-02,-0.250,-1.344,,,
1.835,4.112E-02,-0.252,-1.409,,,
1.869,3.6E-02,-0.251,-1.428,,,
1.902,3.729E-02,-0.250,-1.423,,,
1.935,5.077E-02,-0.248,-1.369,,,
1.969,7.066E-02,-0.247,-1.292,,,
2.002,0.101,-0.242,-1.176,,,
2.035,0.137,-0.231,-1.036,,,
2.069,0.184,-0.210,-0.852,,,
2.102,0.225,-0.173,-0.657,,,
2.135,0.265,-0.119,-0.423,,,
2.169,0.292,-5.494E-02,-0.186,,,
2.202,0.306,1.99E-02,6.49E-02,,,
2.236,0.295,9.246E-02,0.304,,,
2.269,0.266,0.163,0.550,,,
2.302,0.223,0.219,0.776,,,
2.336,0.174,0.258,0.978,,,
2.369,0.127,0.282,1.148,,,
2.402,8.553E-02,0.297,1.291,,,
2.436,5.222E-02,0.299,1.398,,,
2.469,3.366E-02,0.302,1.460,,,
2.503,2.789E-02,0.302,1.479,,,
2.536,2.918E-02,0.303,1.475,,,
2.569,4.392E-02,0.303,1.427,,,
2.603,6.509E-02,0.304,1.360,,,
2.636,0.101,0.298,1.244,,,
2.669,0.147,0.284,1.093,,,
2.703,0.198,0.248,0.896,,,
2.736,0.250,0.199,0.672,,,
2.769,0.289,0.126,0.412,,,
2.803,0.308,4.104E-02,0.133,,,
2.836,0.300,-4.734E-02,-0.156,,,
2.870,0.271,-0.119,-0.414,,,
2.903,0.234,-0.169,-0.625,,,
2.936,0.185,-0.204,-0.835,,,
2.970,0.143,-0.226,-1.008,,,
3.003,0.107,-0.235,-1.145,,,
3.036,7.845E-02,-0.237,-1.251,,,
3.070,5.918E-02,-0.241,-1.330,,,
3.103,5.149E-02,-0.241,-1.361,,,
3.136,4.767E-02,-0.239,-1.374,,,
3.170,5.728E-02,-0.239,-1.336,,,
3.203,7.332E-02,-0.238,-1.272,,,
3.237,9.71E-02,-0.232,-1.174,,,
3.270,0.132,-0.224,-1.036,,,
3.303,0.170,-0.206,-0.878,,,
3.337,0.212,-0.175,-0.691,,,
3.370,0.255,-0.132,-0.479,,,
3.403,0.284,-7.601E-02,-0.261,,,
3.437,0.303,-8.912E-03,-2.937E-02,,,
3.470,0.303,6.609E-02,0.215,,,
3.504,0.281,0.141,0.466,,,
3.537,0.244,0.208,0.705,,,
3.570,0.197,0.251,0.907,,,
3.604,0.146,0.281,1.093,,,
3.637,0.107,0.299,1.226,,,
3.670,7.218E-02,0.308,1.340,,,
3.704,4.85E-02,0.311,1.416,,,
3.737,3.889E-02,0.312,1.447,,,
3.770,3.889E-02,0.312,1.447,,,
3.804,4.787E-02,0.312,1.419,,,
3.837,7.16E-02,0.313,1.346,,,
3.871,0.102,0.305,1.247,,,
3.904,0.144,0.292,1.111,,,
3.937,0.198,0.259,0.918,,,
3.971,0.252,0.207,0.688,,,
4.004,0.293,0.135,0.433,,,
4.037,0.314,4.995E-02,0.158,,,
4.071,0.305,-3.457E-02,-0.113,,,
4.104,0.275,-0.105,-0.363,,,
4.137,0.240,-0.156,-0.575,,,
4.171,0.194,-0.190,-0.777,,,
4.204,0.156,-0.212,-0.937,,,
4.238,0.122,-0.226,-1.076,,,
4.271,9.515E-02,-0.234,-1.185,,,
4.304,7.33E-02,-0.240,-1.274,,,
4.338,6.429E-02,-0.243,-1.312,,,
4.371,6.49E-02,-0.245,-1.312,,,
4.404,7.067E-02,-0.246,-1.291,,,
4.438,8.667E-02,-0.248,-1.235,,,
4.471,0.115,-0.243,-1.130,,,
4.505,0.148,-0.235,-1.007,,,
4.538,0.191,-0.215,-0.846,,,
4.571,0.229,-0.183,-0.674,,,
4.605,0.269,-0.135,-0.467,,,
4.638,0.301,-6.978E-02,-0.228,,,
4.671,0.311,6.19E-04,1.989E-03,,,
4.705,0.306,7.824E-02,0.250,,,
4.738,0.281,0.145,0.476,,,
4.771,0.244,0.202,0.691,,,
4.805,0.196,0.244,0.894,,,
4.838,0.154,0.266,1.046,,,
4.872,0.117,0.280,1.176,,,
4.905,8.924E-02,0.284,1.267,,,
4.938,7.002E-02,0.286,1.331,,,
4.972,6.232E-02,0.285,1.355,,,
5.005,6.423E-02,0.283,1.348,,,
5.038,7.571E-02,0.278,1.305,,,
