t,x,y,theta
3.270,0.216,3.654E-02,0.167
3.303,0.209,-3.112E-02,-0.148
3.337,0.191,-8.87E-02,-0.434
3.370,0.160,-0.131,-0.687
3.403,0.125,-0.160,-0.909
3.437,9.408E-02,-0.180,-1.089
3.470,7.165E-02,-0.189,-1.208
3.503,5.591E-02,-0.191,-1.286
3.537,4.929E-02,-0.192,-1.319
3.570,6.172E-02,-0.189,-1.256
3.604,7.748E-02,-0.185,-1.175
3.637,0.102,-0.175,-1.045
3.670,0.132,-0.155,-0.863
3.704,0.169,-0.123,-0.629
3.737,0.197,-7.805E-02,-0.377
3.770,0.215,-2.294E-02,-0.106
3.804,0.214,3.658E-02,0.169
3.837,0.198,9.217E-02,0.436
3.871,0.170,0.139,0.686
3.904,0.136,0.177,0.913
3.937,0.105,0.198,1.086
3.971,7.823E-02,0.210,1.214
4.004,6.173E-02,0.211,1.287
4.037,5.926E-02,0.212,1.299
4.071,6.585E-02,0.211,1.268
4.104,8.147E-02,0.205,1.193
4.137,0.110,0.190,1.046
4.171,0.141,0.167,0.870
4.204,0.180,0.129,0.622
4.238,0.205,7.223E-02,0.339
4.271,0.215,8.462E-03,3.934E-02
4.304,0.207,-5.422E-02,-0.257
4.338,0.183,-0.104,-0.518
4.371,0.151,-0.143,-0.758
4.404,0.117,-0.166,-0.956
4.438,9.079E-02,-0.179,-1.101
4.471,7.581E-02,-0.186,-1.184
4.505,6.504E-02,-0.189,-1.239
4.538,6.996E-02,-0.191,-1.220
4.571,7.828E-02,-0.187,-1.174
4.605,9.907E-02,-0.178,-1.064
4.638,0.125,-0.163,-0.917
4.671,0.157,-0.137,-0.718
4.705,0.187,-9.691E-02,-0.478
4.738,0.208,-5.094E-02,-0.240
4.771,0.217,9.253E-03,4.252E-02
4.805,0.208,6.641E-02,0.310
4.838,0.186,0.120,0.571
4.872,0.155,0.156,0.790
4.905,0.123,0.182,0.975
4.938,9.791E-02,0.199,1.114
4.972,7.652E-02,0.205,1.214
5.005,7.162E-02,0.210,1.242
5.038,7.325E-02,0.208,1.232
