t,x,y,theta
0.000,-5.253E-03,0.208,1.596
3.337E-02,8.804E-03,0.209,1.529
6.673E-02,2.867E-02,0.211,1.436
0.100,6.418E-02,0.210,1.274
0.133,0.110,0.195,1.056
0.167,0.163,0.159,0.774
0.200,0.205,9.538E-02,0.436
0.234,0.223,1.662E-02,7.453E-02
0.267,0.212,-6.091E-02,-0.279
0.300,0.173,-0.126,-0.630
0.334,0.128,-0.165,-0.909
0.367,8.497E-02,-0.181,-1.133
0.400,4.853E-02,-0.187,-1.317
0.434,2.787E-02,-0.187,-1.423
0.467,1.472E-02,-0.182,-1.490
0.500,8.976E-03,-0.179,-1.521
0.534,1.808E-02,-0.179,-1.470
0.567,3.38E-02,-0.177,-1.382
0.601,6.195E-02,-0.174,-1.228
0.634,9.677E-02,-0.166,-1.043
0.667,0.137,-0.142,-0.806
0.701,0.179,-0.106,-0.535
0.734,0.206,-5.503E-02,-0.261
0.767,0.220,1.252E-02,5.686E-02
0.801,0.209,8.044E-02,0.367
0.834,0.181,0.142,0.666
0.868,0.138,0.190,0.941
0.901,9.323E-02,0.218,1.167
0.934,5.622E-02,0.231,1.332
0.968,2.652E-02,0.234,1.458
1.001,1.158E-02,0.230,1.520
1.034,1.16E-02,0.231,1.521
1.068,1.984E-02,0.229,1.485
1.101,4.374E-02,0.225,1.379
1.134,7.915E-02,0.216,1.220
1.168,0.122,0.192,1.005
1.201,0.167,0.151,0.735
1.235,0.200,8.967E-02,0.422
1.268,0.213,2.005E-02,9.365E-02
1.301,0.200,-5.247E-02,-0.257
1.335,0.172,-0.108,-0.562
1.368,0.133,-0.145,-0.827
1.401,9.425E-02,-0.168,-1.060
1.435,6.186E-02,-0.179,-1.239
1.468,4.202E-02,-0.180,-1.341
1.502,2.957E-02,-0.184,-1.411
1.535,2.709E-02,-0.184,-1.424
1.568,3.537E-02,-0.183,-1.380
1.602,5.44E-02,-0.181,-1.279
1.635,8.174E-02,-0.176,-1.137
1.668,0.118,-0.160,-0.938
1.702,0.155,-0.134,-0.714
1.735,0.189,-8.702E-02,-0.432
1.768,0.210,-3.444E-02,-0.162
1.802,0.215,3.16E-02,0.146
1.835,0.201,9.708E-02,0.449
1.869,0.167,0.151,0.737
1.902,0.127,0.189,0.980
1.935,8.899E-02,0.211,1.172
1.969,5.604E-02,0.218,1.319
2.002,3.629E-02,0.224,1.410
2.035,2.884E-02,0.223,1.442
2.069,3.214E-02,0.223,1.427
2.102,5.108E-02,0.218,1.341
2.135,7.827E-02,0.213,1.218
2.169,0.115,0.193,1.032
2.202,0.158,0.160,0.792
2.236,0.194,0.107,0.504
2.269,0.213,3.989E-02,0.185
2.302,0.211,-2.702E-02,-0.127
2.336,0.189,-8.784E-02,-0.435
2.369,0.153,-0.134,-0.716
2.402,0.116,-0.163,-0.952
2.436,8.338E-02,-0.177,-1.131
2.469,5.849E-02,-0.184,-1.263
2.503,4.353E-02,-0.190,-1.345
2.536,3.775E-02,-0.190,-1.374
2.569,4.272E-02,-0.189,-1.349
2.603,6.262E-02,-0.184,-1.243
2.636,8.75E-02,-0.178,-1.114
2.669,0.119,-0.165,-0.944
2.703,0.154,-0.135,-0.720
2.736,0.190,-9.364E-02,-0.459
2.769,0.212,-3.942E-02,-0.184
2.803,0.217,2.248E-02,0.103
2.836,0.205,8.629E-02,0.399
2.870,0.177,0.137,0.659
2.903,0.141,0.176,0.898
2.936,0.104,0.195,1.083
2.970,7.413E-02,0.212,1.235
3.003,5.357E-02,0.219,1.331
3.036,4.614E-02,0.219,1.363
3.070,4.941E-02,0.217,1.347
3.103,6.257E-02,0.212,1.284
3.136,8.724E-02,0.205,1.168
3.170,0.119,0.187,1.002
3.203,0.159,0.154,0.768
3.237,0.194,9.966E-02,0.475
