t,x,y,theta,,,
0.000,0.297,9.295E-02,0.303,,,
3.337E-02,0.298,9.054E-02,0.295,,,
6.673E-02,0.301,8.73E-02,0.282,,,
0.100,0.305,7.763E-02,0.249,,,
0.133,0.306,6.72E-02,0.216,,,
0.167,0.310,5.433E-02,0.173,,,
0.200,0.313,3.666E-02,0.117,,,
0.234,0.315,1.9E-02,6.02E-02,,,
0.267,0.316,1.358E-03,4.299E-03,,,
0.300,0.316,-1.789E-02,-5.647E-02,,,
0.334,0.312,-3.628E-02,-0.116,,,
0.367,0.310,-5.309E-02,-0.170,,,
0.400,0.307,-6.829E-02,-0.219,,,
0.434,0.303,-7.786E-02,-0.252,,,
0.467,0.300,-8.746E-02,-0.283,,,
0.501,0.299,-8.904E-02,-0.290,,,
0.534,0.297,-9.223E-02,-0.301,,,
0.567,0.295,-9.06E-02,-0.298,,,
0.601,0.297,-8.742E-02,-0.286,,,
0.634,0.297,-7.7E-02,-0.253,,,
0.667,0.301,-6.582E-02,-0.215,,,
0.701,0.303,-5.702E-02,-0.186,,,
0.734,0.307,-3.942E-02,-0.128,,,
0.767,0.307,-2.259E-02,-7.351E-02,,,
0.801,0.309,-6.588E-03,-2.129E-02,,,
0.834,0.306,1.268E-02,4.138E-02,,,
0.868,0.306,2.872E-02,9.368E-02,,,
0.901,0.305,4.476E-02,0.146,,,
0.934,0.302,6.003E-02,0.196,,,
0.968,0.300,6.887E-02,0.226,,,
1.001,0.299,8.01E-02,0.262,,,
1.034,0.294,8.817E-02,0.291,,,
1.068,0.294,9.138E-02,0.302,,,
1.101,0.294,9.218E-02,0.303,,,
1.134,0.298,8.573E-02,0.281,,,
1.168,0.301,8.089E-02,0.263,,,
1.201,0.302,7.045E-02,0.229,,,
1.235,0.304,5.68E-02,0.184,,,
1.268,0.309,4.312E-02,0.139,,,
1.301,0.311,2.626E-02,8.414E-02,,,
1.335,0.311,7.823E-03,2.514E-02,,,
1.368,0.312,-9.82E-03,-3.149E-02,,,
1.401,0.309,-2.743E-02,-8.849E-02,,,
1.435,0.307,-4.343E-02,-0.141,,,
1.468,0.303,-5.782E-02,-0.188,,,
1.502,0.301,-7.142E-02,-0.233,,,
1.535,0.297,-7.94E-02,-0.261,,,
1.568,0.294,-8.578E-02,-0.284,,,
1.602,0.293,-8.898E-02,-0.295,,,
1.635,0.290,-9.055E-02,-0.303,,,
1.668,0.292,-8.737E-02,-0.290,,,
1.702,0.292,-8.256E-02,-0.275,,,
1.735,0.295,-7.297E-02,-0.242,,,
1.768,0.297,-6.016E-02,-0.200,,,
1.802,0.301,-4.818E-02,-0.159,,,
1.835,0.301,-3.295E-02,-0.109,,,
1.869,0.304,-1.775E-02,-5.839E-02,,,
1.902,0.303,-9.067E-04,-2.992E-03,,,
1.935,0.304,1.512E-02,4.968E-02,,,
1.969,0.302,3.117E-02,0.103,,,
2.002,0.300,4.722E-02,0.156,,,
2.035,0.297,6.088E-02,0.202,,,
2.069,0.297,6.971E-02,0.231,,,
2.102,0.294,8.015E-02,0.266,,,
2.135,0.294,8.416E-02,0.279,,,
2.169,0.294,8.818E-02,0.292,,,
2.202,0.295,8.576E-02,0.283,,,
2.236,0.295,8.175E-02,0.270,,,
2.269,0.299,7.209E-02,0.237,,,
2.302,0.302,6.163E-02,0.201,,,
2.336,0.304,4.878E-02,0.159,,,
2.369,0.307,3.352E-02,0.109,,,
2.402,0.309,1.747E-02,5.65E-02,,,
2.436,0.310,-1.84E-04,-5.93E-04,,,
2.469,0.308,-1.7E-02,-5.506E-02,,,
2.503,0.307,-3.381E-02,-0.110,,,
2.536,0.304,-4.902E-02,-0.160,,,
2.569,0.301,-6.02E-02,-0.198,,,
2.603,0.298,-7.38E-02,-0.243,,,
2.636,0.296,-8.019E-02,-0.265,,,
2.669,0.292,-8.495E-02,-0.283,,,
2.703,0.290,-8.654E-02,-0.290,,,
2.736,0.291,-8.495E-02,-0.284,,,
2.769,0.293,-8.176E-02,-0.273,,,
2.803,0.294,-7.456E-02,-0.248,,,
2.836,0.296,-6.416E-02,-0.214,,,
2.870,0.298,-4.975E-02,-0.166,,,
2.903,0.300,-3.855E-02,-0.128,,,
2.936,0.303,-2.255E-02,-7.434E-02,,,
2.970,0.305,-5.733E-03,-1.882E-02,,,
3.003,0.302,1.193E-02,3.943E-02,,,
3.036,0.303,2.716E-02,8.953E-02,,,
3.070,0.302,4.159E-02,0.137,,,
3.103,0.299,5.606E-02,0.185,,,
3.136,0.299,6.487E-02,0.214,,,
3.170,0.297,7.371E-02,0.243,,,
3.203,0.296,8.174E-02,0.270,,,
3.237,0.298,8.252E-02,0.271,,,
3.270,0.297,8.494E-02,0.279,,,
3.303,0.297,8.172E-02,0.268,,,
3.337,0.298,7.61E-02,0.250,,,
3.370,0.303,6.242E-02,0.203,,,
3.403,0.304,5.52E-02,0.180,,,
3.437,0.310,3.75E-02,0.120,,,
3.470,0.310,2.467E-02,7.95E-02,,,
3.504,0.312,6.211E-03,1.991E-02,,,
3.537,0.311,-1.061E-02,-3.412E-02,,,
3.570,0.309,-2.262E-02,-7.302E-02,,,
3.604,0.307,-3.943E-02,-0.128,,,
3.637,0.304,-5.383E-02,-0.175,,,
3.670,0.301,-6.581E-02,-0.215,,,
3.704,0.297,-7.379E-02,-0.244,,,
3.737,0.295,-7.938E-02,-0.263,,,
3.770,0.294,-8.258E-02,-0.274,,,
3.804,0.293,-8.497E-02,-0.282,,,
3.837,0.294,-8.338E-02,-0.276,,,
3.871,0.294,-7.536E-02,-0.251,,,
3.904,0.295,-6.736E-02,-0.224,,,
3.937,0.299,-5.538E-02,-0.183,,,
3.971,0.302,-4.498E-02,-0.148,,,
4.004,0.303,-3.218E-02,-0.106,,,
4.037,0.305,-1.536E-02,-5.028E-02,,,
4.071,0.303,3.101E-03,1.023E-02,,,
4.104,0.306,1.59E-02,5.198E-02,,,
4.137,0.305,3.434E-02,0.112,,,
4.171,0.304,4.558E-02,0.149,,,
4.204,0.302,5.762E-02,0.189,,,
4.238,0.298,6.488E-02,0.214,,,
4.271,0.299,7.369E-02,0.242,,,
4.304,0.297,7.932E-02,0.261,,,
4.338,0.296,7.933E-02,0.262,,,
4.371,0.299,8.01E-02,0.262,,,
4.404,0.301,7.608E-02,0.248,,,
4.438,0.302,6.884E-02,0.224,,,
4.471,0.305,5.759E-02,0.186,,,
4.505,0.307,4.074E-02,0.132,,,
4.538,0.308,2.95E-02,9.544E-02,,,
4.571,0.308,1.427E-02,4.63E-02,,,
4.605,0.310,-4.192E-03,-1.351E-02,,,
4.638,0.308,-2.02E-02,-6.542E-02,,,
4.671,0.307,-3.301E-02,-0.107,,,
4.705,0.303,-4.901E-02,-0.160,,,
4.738,0.301,-5.94E-02,-0.195,,,
4.771,0.299,-7.061E-02,-0.232,,,
4.805,0.295,-7.537E-02,-0.250,,,
4.838,0.293,-8.257E-02,-0.274,,,
4.872,0.294,-8.097E-02,-0.269,,,
4.905,0.293,-8.096E-02,-0.270,,,
4.938,0.294,-7.616E-02,-0.253,,,
4.972,0.296,-6.977E-02,-0.232,,,
5.005,0.299,-5.938E-02,-0.196,,,
5.038,0.302,-4.739E-02,-0.156,,,
