t,x,y,theta,,,
3.103,0.189,4.423E-02,0.230,,,
3.136,0.186,5.062E-02,0.266,,,
3.170,0.185,5.697E-02,0.299,,,
3.203,0.188,5.058E-02,0.263,,,
3.237,0.189,4.107E-02,0.214,,,
3.270,0.193,2.516E-02,0.129,,,
3.303,0.196,7.718E-03,3.934E-02,,,
3.337,0.192,-1.273E-02,-6.605E-02,,,
3.370,0.195,-3.491E-02,-0.177,,,
3.403,0.190,-4.9E-02,-0.252,,,
3.437,0.180,-5.981E-02,-0.321,,,
3.470,0.182,-6.774E-02,-0.357,,,
3.504,0.183,-6.462E-02,-0.339,,,
3.537,0.188,-5.527E-02,-0.286,,,
3.570,0.190,-4.742E-02,-0.245,,,
3.604,0.190,-2.847E-02,-0.148,,,
3.637,0.194,-1.119E-02,-5.759E-02,,,
3.670,0.193,1.411E-02,7.296E-02,,,
3.704,0.192,2.836E-02,0.147,,,
3.737,0.189,3.949E-02,0.206,,,
3.770,0.188,5.532E-02,0.286,,,
3.804,0.186,5.22E-02,0.273,,,
3.837,0.188,5.374E-02,0.279,,,
3.871,0.189,4.265E-02,0.222,,,
3.904,0.193,2.99E-02,0.153,,,
3.937,0.193,1.095E-02,5.67E-02,,,
3.971,0.197,-1.127E-02,-5.707E-02,,,
4.004,0.192,-3.167E-02,-0.164,,,
4.037,0.185,-4.888E-02,-0.258,,,
4.071,0.185,-5.835E-02,-0.306,,,
4.104,0.185,-6.151E-02,-0.321,,,
4.137,0.185,-5.835E-02,-0.306,,,
4.171,0.187,-5.365E-02,-0.280,,,
4.204,0.187,-4.576E-02,-0.240,,,
4.238,0.191,-2.532E-02,-0.132,,,
4.271,0.194,-9.608E-03,-4.947E-02,,,
4.304,0.195,1.249E-02,6.411E-02,,,
4.338,0.190,2.682E-02,0.140,,,
4.371,0.191,4.892E-02,0.251,,,
4.404,0.186,5.536E-02,0.289,,,
4.438,0.186,6.167E-02,0.320,,,
4.471,0.182,5.705E-02,0.305,,,
4.505,0.182,5.705E-02,0.305,,,
4.538,0.189,3.791E-02,0.198,,,
4.571,0.193,1.569E-02,8.107E-02,,,
4.605,0.194,-1.358E-04,-6.989E-04,,,
4.638,0.191,-2.374E-02,-0.124,,,
4.671,0.192,-4.272E-02,-0.219,,,
4.705,0.188,-5.211E-02,-0.270,,,
4.738,0.187,-5.523E-02,-0.288,,,
