t,x,y,theta,,,
0.000,0.190,6.159E-02,0.314,,,
3.337E-02,0.197,5.508E-02,0.272,,,
6.673E-02,0.197,4.718E-02,0.235,,,
0.100,0.198,3.452E-02,0.172,,,
0.133,0.206,1.064E-02,5.169E-02,,,
0.167,0.205,-8.306E-03,-4.047E-02,,,
0.200,0.202,-2.717E-02,-0.134,,,
0.234,0.198,-4.288E-02,-0.213,,,
0.267,0.195,-5.385E-02,-0.270,,,
0.300,0.191,-6.166E-02,-0.312,,,
0.334,0.194,-5.543E-02,-0.278,,,
0.367,0.191,-5.061E-02,-0.258,,,
0.400,0.197,-3.652E-02,-0.184,,,
0.434,0.202,-2.401E-02,-0.119,,,
0.467,0.202,1.245E-03,6.155E-03,,,
0.500,0.201,1.707E-02,8.471E-02,,,
0.534,0.194,3.148E-02,0.161,,,
0.567,0.196,5.038E-02,0.252,,,
0.601,0.191,5.839E-02,0.297,,,
0.634,0.188,6.163E-02,0.317,,,
0.667,0.193,5.835E-02,0.294,,,
0.701,0.192,4.257E-02,0.218,,,
0.734,0.193,2.99E-02,0.153,,,
0.767,0.198,1.241E-02,6.269E-02,,,
0.801,0.199,-8.148E-03,-4.096E-02,,,
0.834,0.195,-2.859E-02,-0.145,,,
0.868,0.193,-4.592E-02,-0.233,,,
0.901,0.188,-5.685E-02,-0.293,,,
0.934,0.183,-6.462E-02,-0.339,,,
0.968,0.183,-6.304E-02,-0.331,,,
1.001,0.188,-5.843E-02,-0.301,,,
1.034,0.189,-3.948E-02,-0.206,,,
1.068,0.195,-2.228E-02,-0.114,,,
1.101,0.194,-6.45E-03,-3.321E-02,,,
1.134,0.195,1.407E-02,7.217E-02,,,
1.168,0.190,3.314E-02,0.172,,,
1.201,0.189,4.265E-02,0.222,,,
1.235,0.186,5.693E-02,0.297,,,
1.268,0.188,6.321E-02,0.324,,,
1.301,0.188,5.847E-02,0.302,,,
1.335,0.189,4.58E-02,0.238,,,
1.368,0.193,2.832E-02,0.145,,,
1.401,0.198,1.241E-02,6.269E-02,,,
1.435,0.197,-8.108E-03,-4.108E-02,,,
1.468,0.194,-2.855E-02,-0.146,,,
1.501,0.193,-4.276E-02,-0.218,,,
1.535,0.183,-5.515E-02,-0.292,,,
1.568,0.183,-5.831E-02,-0.308,,,
1.602,0.188,-6.316E-02,-0.324,,,
1.635,0.190,-5.215E-02,-0.268,,,
1.668,0.192,-4.43E-02,-0.227,,,
1.702,0.195,-2.386E-02,-0.122,,,
1.735,0.196,-4.911E-03,-2.508E-02,,,
1.768,0.196,1.719E-02,8.734E-02,,,
1.802,0.190,3.471E-02,0.180,,,
1.835,0.183,5.07E-02,0.270,,,
1.869,0.181,5.547E-02,0.297,,,
1.902,0.179,6.503E-02,0.349,,,
1.935,0.191,6.155E-02,0.312,,,
1.969,0.191,4.734E-02,0.243,,,
2.002,0.189,3.002E-02,0.158,,,
2.035,0.192,1.731E-02,9.011E-02,,,
2.069,0.193,-1.675E-03,-8.692E-03,,,
2.102,0.194,-2.539E-02,-0.130,,,
2.135,0.190,-4.268E-02,-0.221,,,
2.169,0.188,-5.211E-02,-0.270,,,
2.202,0.185,-5.361E-02,-0.282,,,
2.236,0.182,-5.511E-02,-0.294,,,
2.269,0.184,-5.042E-02,-0.268,,,
2.302,0.189,-4.106E-02,-0.214,,,
2.336,0.192,-2.535E-02,-0.131,,,
2.369,0.193,-4.832E-03,-2.508E-02,,,
2.402,0.195,1.407E-02,7.217E-02,,,
2.436,0.190,3.156E-02,0.164,,,
2.469,0.185,5.224E-02,0.276,,,
2.503,0.186,6.009E-02,0.312,,,
2.536,0.183,5.859E-02,0.310,,,
2.569,0.183,6.175E-02,0.325,,,
2.603,0.188,5.058E-02,0.263,,,
2.636,0.192,3.152E-02,0.163,,,
2.669,0.193,1.253E-02,6.484E-02,,,
2.703,0.194,-3.293E-03,-1.695E-02,,,
2.736,0.194,-2.539E-02,-0.130,,,
2.769,0.192,-3.956E-02,-0.203,,,
2.803,0.184,-5.199E-02,-0.276,,,
2.836,0.183,-5.831E-02,-0.308,,,
2.870,0.188,-6.159E-02,-0.317,,,
2.903,0.190,-5.215E-02,-0.268,,,
2.936,0.190,-3.794E-02,-0.197,,,
2.970,0.192,-2.378E-02,-0.123,,,
3.003,0.196,-3.333E-03,-1.702E-02,,,
3.036,0.196,1.561E-02,7.937E-02,,,
3.070,0.190,3.629E-02,0.188,,,
