t,x,y,theta,,,
1.735,9.795E-02,-3.306E-02,-0.326,,,
1.768,0.102,-4.644E-03,-4.545E-02,,,
1.802,9.946E-02,2.144E-02,0.212,,,
1.835,9.753E-02,4.248E-02,0.411,,,
1.869,8.539E-02,5.876E-02,0.603,,,
1.902,7.314E-02,7.085E-02,0.769,,,
1.935,7.158E-02,7.509E-02,0.809,,,
1.969,7.242E-02,7.507E-02,0.803,,,
2.002,8.055E-02,6.561E-02,0.684,,,
2.035,8.851E-02,5.028E-02,0.517,,,
2.069,9.874E-02,2.566E-02,0.254,,,
2.102,0.103,-1.313E-03,-1.274E-02,,,
2.135,9.809E-02,-2.803E-02,-0.278,,,
2.169,8.828E-02,-4.874E-02,-0.504,,,
2.202,8.034E-02,-6.278E-02,-0.663,,,
2.236,7.428E-02,-6.933E-02,-0.751,,,
2.269,6.993E-02,-7.508E-02,-0.821,,,
2.302,7.507E-02,-7.103E-02,-0.758,,,
2.336,8.365E-02,-6.455E-02,-0.657,,,
2.369,9.25E-02,-4.802E-02,-0.479,,,
2.402,9.816E-02,-2.551E-02,-0.254,,,
2.436,0.106,3.649E-03,3.451E-02,,,
2.469,0.101,2.981E-02,0.288,,,
2.503,9.271E-02,5.017E-02,0.496,,,
2.536,8.22E-02,6.472E-02,0.667,,,
2.569,7.74E-02,7.325E-02,0.758,,,
2.603,7.405E-02,7.334E-02,0.781,,,
2.636,7.559E-02,6.826E-02,0.735,,,
2.669,8.122E-02,5.972E-02,0.634,,,
2.703,9.336E-02,4.343E-02,0.435,,,
2.736,0.102,2.054E-02,0.199,,,
2.769,0.103,-4.667E-03,-4.531E-02,,,
2.803,9.799E-02,-3.138E-02,-0.310,,,
2.836,8.91E-02,-4.96E-02,-0.508,,,
2.870,7.854E-02,-6.693E-02,-0.706,,,
2.903,6.988E-02,-7.676E-02,-0.832,,,
2.936,7.417E-02,-7.352E-02,-0.781,,,
2.970,7.938E-02,-6.695E-02,-0.701,,,
3.003,8.721E-02,-5.71E-02,-0.580,,,
3.036,9.613E-02,-3.805E-02,-0.377,,,
3.070,0.102,-1.555E-02,-0.152,,,
3.103,0.103,1.297E-02,0.126,,,
3.136,9.648E-02,3.496E-02,0.348,,,
3.170,8.695E-02,5.452E-02,0.560,,,
3.203,8.059E-02,6.729E-02,0.696,,,
3.237,7.486E-02,7.248E-02,0.769,,,
3.270,7.486E-02,7.248E-02,0.769,,,
3.303,7.969E-02,6.479E-02,0.683,,,
3.337,8.942E-02,5.277E-02,0.533,,,
3.370,9.73E-02,3.409E-02,0.337,,,
3.403,0.103,1.129E-02,0.110,,,
3.437,0.103,-1.808E-02,-0.175,,,
3.470,9.443E-02,-3.884E-02,-0.390,,,
3.504,8.469E-02,-5.703E-02,-0.593,,,
3.537,7.507E-02,-7.103E-02,-0.758,,,
3.570,7.163E-02,-7.429E-02,-0.804,,,
3.604,7.163E-02,-7.429E-02,-0.804,,,
3.637,8.027E-02,-6.53E-02,-0.683,,,
3.670,8.821E-02,-5.125E-02,-0.526,,,
3.704,9.804E-02,-2.971E-02,-0.294,,,
3.737,0.102,-7.159E-03,-7.006E-02,,,
3.770,9.869E-02,2.398E-02,0.238,,,
3.804,9.331E-02,4.176E-02,0.421,,,
3.837,8.537E-02,5.792E-02,0.596,,,
3.871,7.813E-02,6.903E-02,0.724,,,
3.904,7.316E-02,7.169E-02,0.775,,,
3.937,7.733E-02,7.073E-02,0.741,,,
3.971,8.549E-02,6.212E-02,0.628,,,
4.004,9.261E-02,4.681E-02,0.468,,,
4.037,9.783E-02,2.317E-02,0.233,,,
4.071,0.103,-4.742E-04,-4.602E-03,,,
4.104,9.983E-02,-2.556E-02,-0.251,,,
4.137,9.171E-02,-4.632E-02,-0.468,,,
4.171,8.209E-02,-6.032E-02,-0.634,,,
4.204,7.601E-02,-6.77E-02,-0.728,,,
4.238,7.347E-02,-6.847E-02,-0.750,,,
4.271,7.691E-02,-6.521E-02,-0.703,,,
4.304,8.469E-02,-5.703E-02,-0.593,,,
4.338,9.357E-02,-3.965E-02,-0.401,,,
4.371,0.102,-1.974E-02,-0.192,,,
4.404,0.101,5.466E-03,5.423E-02,,,
4.438,9.888E-02,3.069E-02,0.301,,,
4.471,9.182E-02,4.851E-02,0.486,,,
4.505,7.969E-02,6.479E-02,0.683,,,
4.538,7.577E-02,7.497E-02,0.780,,,
4.571,7.244E-02,7.591E-02,0.809,,,
4.605,7.726E-02,6.822E-02,0.723,,,
4.638,8.625E-02,5.958E-02,0.604,,,
4.671,9.159E-02,4.013E-02,0.413,,,
4.705,0.101,1.385E-02,0.136,,,
4.738,0.104,-1.31E-02,-0.125,,,
4.771,9.622E-02,-3.469E-02,-0.346,,,
4.805,8.898E-02,-5.379E-02,-0.544,,,
4.838,7.945E-02,-6.444E-02,-0.681,,,
4.872,7.351E-02,-6.679E-02,-0.738,,,
4.905,7.351E-02,-6.679E-02,-0.738,,,
4.938,7.955E-02,-6.108E-02,-0.655,,,
4.972,8.567E-02,-5.202E-02,-0.546,,,
5.005,9.627E-02,-3.302E-02,-0.330,,,
5.038,0.104,-1.056E-02,-0.102,,,
