t,x,y,theta,,,
0.000,6.918E-02,7.935E-02,0.854,,,
3.337E-02,7.824E-02,7.323E-02,0.752,,,
6.673E-02,8.453E-02,5.795E-02,0.601,,,
0.100,9.895E-02,3.321E-02,0.324,,,
0.133,0.104,7.888E-03,7.562E-02,,,
0.167,0.102,-2.393E-02,-0.231,,,
0.200,9.171E-02,-4.632E-02,-0.468,,,
0.234,8.036E-02,-6.195E-02,-0.657,,,
0.267,7.263E-02,-6.844E-02,-0.756,,,
0.300,7.083E-02,-7.259E-02,-0.798,,,
0.334,7.424E-02,-7.101E-02,-0.763,,,
0.367,8.209E-02,-6.032E-02,-0.634,,,
0.400,9E-02,-4.711E-02,-0.482,,,
0.434,0.101,-2.645E-02,-0.255,,,
0.467,0.105,-1.359E-03,-1.298E-02,,,
0.500,0.102,2.473E-02,0.238,,,
0.534,9.434E-02,4.844E-02,0.474,,,
0.567,8.388E-02,6.468E-02,0.657,,,
0.601,7.253E-02,7.926E-02,0.830,,,
0.634,7.244E-02,7.591E-02,0.809,,,
0.667,7.491E-02,7.416E-02,0.780,,,
0.701,8.143E-02,6.726E-02,0.690,,,
0.734,9.271E-02,5.017E-02,0.496,,,
0.767,0.100,2.645E-02,0.258,,,
0.801,0.104,-4.69E-03,-4.517E-02,,,
0.834,9.886E-02,-3.057E-02,-0.300,,,
0.868,8.816E-02,-5.293E-02,-0.541,,,
0.901,7.778E-02,-6.439E-02,-0.692,,,
0.934,7.505E-02,-7.187E-02,-0.764,,,
0.968,6.825E-02,-7.504E-02,-0.833,,,
1.001,7.591E-02,-7.105E-02,-0.752,,,
1.034,8.379E-02,-5.952E-02,-0.618,,,
1.068,9.615E-02,-3.721E-02,-0.369,,,
1.101,0.102,-1.638E-02,-0.160,,,
1.134,0.104,1.04E-02,9.952E-02,,,
1.168,9.653E-02,3.663E-02,0.363,,,
1.201,8.621E-02,5.79E-02,0.591,,,
1.235,7.563E-02,6.994E-02,0.746,,,
1.268,7.242E-02,7.507E-02,0.803,,,
1.301,7.656E-02,7.327E-02,0.763,,,
1.335,7.813E-02,6.903E-02,0.724,,,
1.368,9.201E-02,5.522E-02,0.541,,,
1.401,9.816E-02,3.491E-02,0.342,,,
1.435,0.103,1.294E-02,0.124,,,
1.468,0.102,-1.471E-02,-0.143,,,
1.502,9.359E-02,-3.882E-02,-0.393,,,
1.535,8.379E-02,-5.952E-02,-0.618,,,
1.568,7.852E-02,-6.777E-02,-0.712,,,
1.602,7.163E-02,-7.429E-02,-0.804,,,
1.635,7.249E-02,-7.348E-02,-0.792,,,
1.668,8.024E-02,-6.614E-02,-0.689,,,
1.702,8.907E-02,-5.044E-02,-0.515,,,
