t,x,y,theta,,,
0.000,9.14E-02,5.358E-02,0.530,,,
3.337E-02,9.138E-02,5.284E-02,0.524,,,
6.673E-02,9.342E-02,4.612E-02,0.459,,,
0.100,9.828E-02,3.415E-02,0.334,,,
0.133,0.103,1.7E-02,0.164,,,
0.167,0.102,-2.966E-03,-2.894E-02,,,
0.200,0.102,-1.998E-02,-0.193,,,
0.234,9.947E-02,-3.249E-02,-0.316,,,
0.267,9.25E-02,-4.415E-02,-0.445,,,
0.300,8.932E-02,-5.22E-02,-0.529,,,
0.334,9.012E-02,-5.001E-02,-0.507,,,
0.367,9.25E-02,-4.415E-02,-0.445,,,
0.400,9.645E-02,-3.463E-02,-0.345,,,
0.434,0.102,-2.146E-02,-0.207,,,
0.467,0.104,-4.485E-03,-4.313E-02,,,
0.500,0.104,1.181E-02,0.113,,,
0.534,9.888E-02,2.896E-02,0.285,,,
0.567,9.48E-02,4.239E-02,0.420,,,
0.601,9.132E-02,5.062E-02,0.506,,,
0.634,8.914E-02,5.216E-02,0.529,,,
0.667,9.128E-02,4.914E-02,0.494,,,
0.701,9.414E-02,4.536E-02,0.449,,,
0.734,9.824E-02,3.267E-02,0.321,,,
0.767,0.102,1.926E-02,0.187,,,
0.801,0.103,1.452E-03,1.405E-02,,,
0.834,0.103,-1.778E-02,-0.171,,,
0.868,9.875E-02,-3.173E-02,-0.311,,,
0.901,9.477E-02,-4.199E-02,-0.417,,,
0.934,8.942E-02,-4.851E-02,-0.497,,,
0.968,8.938E-02,-4.999E-02,-0.510,,,
1.001,9.168E-02,-4.709E-02,-0.474,,,
1.034,9.341E-02,-3.751E-02,-0.382,,,
1.068,0.100,-2.659E-02,-0.259,,,
1.101,0.104,-1.114E-02,-0.107,,,
1.134,0.103,7.369E-03,7.108E-02,,,
1.168,0.102,2.222E-02,0.215,,,
1.201,9.684E-02,3.567E-02,0.353,,,
1.235,9.354E-02,5.056E-02,0.496,,,
1.268,8.994E-02,5.436E-02,0.544,,,
1.301,9.204E-02,4.986E-02,0.496,,,
1.335,9.564E-02,4.606E-02,0.449,,,
1.368,9.752E-02,3.343E-02,0.330,,,
1.401,9.869E-02,2.156E-02,0.215,,,
1.435,0.104,2.172E-03,2.086E-02,,,
1.468,0.102,-1.702E-02,-0.165,,,
1.502,9.725E-02,-3.243E-02,-0.322,,,
1.535,9.333E-02,-4.047E-02,-0.409,,,
1.568,8.944E-02,-4.777E-02,-0.491,,,
1.602,8.94E-02,-4.925E-02,-0.503,,,
1.635,9.09E-02,-4.855E-02,-0.491,,,
1.668,9.477E-02,-4.199E-02,-0.417,,,
1.702,9.729E-02,-3.095E-02,-0.308,,,
1.735,0.101,-1.848E-02,-0.180,,,
1.768,0.103,-7.502E-06,-7.316E-05,,,
1.802,0.101,1.78E-02,0.175,,,
1.835,9.9E-02,3.339E-02,0.325,,,
1.869,9.192E-02,4.542E-02,0.459,,,
1.902,9.128E-02,4.914E-02,0.494,,,
1.935,9.28E-02,5.058E-02,0.499,,,
1.969,9.488E-02,4.534E-02,0.446,,,
2.002,9.762E-02,3.713E-02,0.363,,,
2.035,0.100,2.374E-02,0.233,,,
2.069,0.104,7.349E-03,7.039E-02,,,
2.102,0.104,-1.114E-02,-0.107,,,
2.135,9.894E-02,-2.434E-02,-0.241,,,
2.169,9.331E-02,-4.121E-02,-0.416,,,
2.202,9.024E-02,-4.557E-02,-0.468,,,
2.236,8.788E-02,-5.069E-02,-0.523,,,
2.269,9.016E-02,-4.853E-02,-0.494,,,
2.302,9.331E-02,-4.121E-02,-0.416,,,
2.336,9.655E-02,-3.093E-02,-0.310,,,
2.369,0.102,-1.85E-02,-0.179,,,
2.402,0.103,-2.719E-05,-2.633E-04,,,
2.436,0.103,1.331E-02,0.129,,,
2.469,9.818E-02,3.045E-02,0.301,,,
2.503,9.478E-02,4.165E-02,0.414,,,
2.536,9.136E-02,5.21E-02,0.518,,,
2.569,8.766E-02,5.22E-02,0.537,,,
2.603,9.35E-02,4.908E-02,0.483,,,
2.636,9.558E-02,4.385E-02,0.430,,,
2.669,9.748E-02,3.195E-02,0.317,,,
2.703,9.997E-02,1.412E-02,0.140,,,
2.736,0.103,-1.506E-03,-1.459E-02,,,
2.769,0.101,-1.92E-02,-0.189,,,
2.803,9.785E-02,-3.763E-02,-0.367,,,
2.836,9.036E-02,-4.113E-02,-0.427,,,
2.870,8.87E-02,-4.775E-02,-0.494,,,
2.903,8.938E-02,-4.999E-02,-0.510,,,
2.936,9.178E-02,-4.339E-02,-0.442,,,
2.970,9.639E-02,-3.685E-02,-0.365,,,
3.003,9.894E-02,-2.434E-02,-0.241,,,
3.036,0.102,-9.603E-03,-9.427E-02,,,
3.070,0.102,5.929E-03,5.808E-02,,,
3.103,9.876E-02,2.452E-02,0.243,,,
3.136,9.398E-02,3.945E-02,0.397,,,
3.170,9.262E-02,4.392E-02,0.443,,,
3.203,9.062E-02,5.212E-02,0.522,,,
3.237,9.202E-02,4.912E-02,0.490,,,
3.270,9.474E-02,4.017E-02,0.401,,,
3.303,9.754E-02,3.417E-02,0.337,,,
3.337,9.999E-02,1.486E-02,0.148,,,
3.370,0.103,-2.246E-03,-2.175E-02,,,
3.403,9.912E-02,-1.768E-02,-0.177,,,
3.437,9.581E-02,-3.091E-02,-0.312,,,
3.470,9.335E-02,-3.973E-02,-0.402,,,
3.504,8.876E-02,-4.553E-02,-0.474,,,
3.537,9.02E-02,-4.705E-02,-0.481,,,
3.570,9.252E-02,-4.341E-02,-0.439,,,
3.604,9.643E-02,-3.537E-02,-0.352,,,
3.637,0.101,-2.587E-02,-0.250,,,
3.670,0.104,-1.116E-02,-0.106,,,
3.704,0.105,9.548E-03,9.066E-02,,,
3.737,0.100,2.448E-02,0.240,,,
3.770,9.612E-02,3.643E-02,0.362,,,
3.804,9.56E-02,4.459E-02,0.436,,,
3.837,9.056E-02,4.99E-02,0.504,,,
3.871,9.13E-02,4.988E-02,0.500,,,
3.904,9.772E-02,4.083E-02,0.396,,,
3.937,9.752E-02,3.343E-02,0.330,,,
3.971,0.100,1.708E-02,0.169,,,
4.004,0.103,4.43E-03,4.312E-02,,,
4.037,0.101,-1.182E-02,-0.116,,,
4.071,9.885E-02,-2.803E-02,-0.276,,,
4.104,9.487E-02,-3.829E-02,-0.384,,,
4.137,8.952E-02,-4.481E-02,-0.464,,,
4.171,8.716E-02,-4.993E-02,-0.520,,,
4.204,9.17E-02,-4.635E-02,-0.468,,,
4.238,9.487E-02,-3.829E-02,-0.384,,,
4.271,9.817E-02,-2.58E-02,-0.257,,,
4.304,0.102,-1.034E-02,-0.102,,,
4.338,0.102,5.189E-03,5.086E-02,,,
4.371,9.871E-02,2.23E-02,0.222,,,
4.404,9.752E-02,3.343E-02,0.330,,,
4.438,9.484E-02,4.387E-02,0.433,,,
4.471,9.424E-02,4.906E-02,0.480,,,
4.505,9.28E-02,5.058E-02,0.499,,,
4.538,9.336E-02,4.391E-02,0.440,,,
4.571,9.678E-02,3.345E-02,0.333,,,
4.605,0.100,2.152E-02,0.212,,,
4.638,0.103,8.868E-03,8.606E-02,,,
4.671,0.100,-1.03E-02,-0.103,,,
4.705,9.894E-02,-2.434E-02,-0.241,,,
4.738,9.721E-02,-3.391E-02,-0.336,,,
4.771,9.257E-02,-4.119E-02,-0.419,,,
4.805,9.162E-02,-4.931E-02,-0.494,,,
4.838,9.318E-02,-4.639E-02,-0.462,,,
4.872,9.479E-02,-4.125E-02,-0.410,,,
4.905,9.737E-02,-2.799E-02,-0.280,,,
4.938,0.103,-1.556E-02,-0.150,,,
4.972,0.104,1.432E-03,1.376E-02,,,
5.005,0.101,1.854E-02,0.182,,,
5.038,0.100,3.261E-02,0.314,,,
