t,x,y,theta,,,
4.137,8.858E-02,5.704E-02,0.572,,,
4.171,6.807E-02,8.249E-02,0.881,,,
4.204,4.724E-02,9.624E-02,1.114,,,
4.238,3.201E-02,0.101,1.264,,,
4.271,3.201E-02,0.101,1.264,,,
4.304,4.214E-02,9.711E-02,1.161,,,
4.338,5.654E-02,8.866E-02,1.003,,,
4.371,7.646E-02,6.835E-02,0.729,,,
4.404,9.39E-02,3.787E-02,0.383,,,
4.438,0.103,-4.086E-03,-3.966E-02,,,
4.471,9.608E-02,-4.194E-02,-0.412,,,
4.505,7.473E-02,-7.281E-02,-0.772,,,
4.538,5.093E-02,-8.678E-02,-1.040,,,
4.571,4.039E-02,-9.746E-02,-1.178,,,
4.605,3.306E-02,-9.799E-02,-1.245,,,
4.638,3.968E-02,-9.671E-02,-1.181,,,
4.671,5.307E-02,-8.903E-02,-1.033,,,
4.705,7.549E-02,-7.21E-02,-0.762,,,
4.738,9.458E-02,-4.336E-02,-0.430,,,
4.771,0.104,-1.071E-02,-0.102,,,
4.805,0.101,2.889E-02,0.279,,,
4.838,8.499E-02,5.934E-02,0.609,,,
4.872,6.363E-02,8.042E-02,0.901,,,
4.905,4.789E-02,9.329E-02,1.097,,,
4.938,3.775E-02,9.723E-02,1.200,,,
4.972,3.775E-02,9.723E-02,1.200,,,
5.005,4.643E-02,9.333E-02,1.109,,,
5.038,6.227E-02,8.411E-02,0.934,,,
5.072,8.284E-02,6.086E-02,0.634,,,
5.105,9.746E-02,3.411E-02,0.337,,,
